L1,L2,R1,R2,R3,R4
TGFB2,,TGFBR1,TGFBR2,,
TGFB3,,TGFBR1,TGFBR2,,
TGFB2,,ACVR1B,TGFBR2,,
TGFB2,,ACVR1C,TGFBR2,,
TGFB3,,ACVR1B,TGFBR2,,
TGFB3,,ACVR1C,TGFBR2,,
TGFB2,,ACVR1,TGFBR1,,
TGFB3,,ACVR1,TGFBR1,,
BMP2,,BMPR1A,ACVR2A,,
BMP2,,BMPR1A,ACVR2B,,
BMP2,,BMPR1A,BMPR2,,
BMP2,,BMPR1B,ACVR2A,,
BMP2,,BMPR1B,ACVR2B,,
BMP2,,BMPR1B,BMPR2,,
GDF5,,BMPR1A,ACVR2A,,
GDF5,,BMPR1A,ACVR2B,,
GDF5,,BMPR1A,BMPR2,,
GDF5,,BMPR1B,ACVR2A,,
GDF5,,BMPR1B,ACVR2B,,
GDF5,,BMPR1B,BMPR2,,
GDF6,,BMPR1A,ACVR2A,,
GDF6,,BMPR1A,ACVR2B,,
GDF6,,BMPR1A,BMPR2,,
GDF6,,BMPR1B,ACVR2A,,
GDF6,,BMPR1B,ACVR2B,,
GDF6,,BMPR1B,BMPR2,,
GDF7,,BMPR1A,ACVR2A,,
GDF7,,BMPR1A,ACVR2B,,
GDF7,,BMPR1A,BMPR2,,
GDF7,,BMPR1B,ACVR2A,,
GDF7,,BMPR1B,ACVR2B,,
GDF7,,BMPR1B,BMPR2,,
BMP5,,ACVR1,ACVR2A,,
BMP5,,ACVR1,ACVR2B,,
BMP5,,ACVR1,BMPR2,,
BMP5,,BMPR1A,ACVR2A,,
BMP5,,BMPR1A,ACVR2B,,
BMP5,,BMPR1A,BMPR2,,
BMP5,,BMPR1B,ACVR2A,,
BMP5,,BMPR1B,ACVR2B,,
BMP5,,BMPR1B,BMPR2,,
BMP6,,ACVR1,ACVR2A,,
BMP6,,ACVR1,ACVR2B,,
BMP6,,ACVR1,BMPR2,,
BMP6,,BMPR1A,ACVR2A,,
BMP6,,BMPR1A,ACVR2B,,
BMP6,,BMPR1A,BMPR2,,
BMP6,,BMPR1B,ACVR2A,,
BMP6,,BMPR1B,ACVR2B,,
BMP6,,BMPR1B,BMPR2,,
BMP7,,ACVR1,ACVR2A,,
BMP7,,ACVR1,ACVR2B,,
BMP7,,ACVR1,BMPR2,,
BMP7,,BMPR1A,ACVR2A,,
